Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity
7,1.62E-01,5.61E-02,2.55E-01,3,7,Not eroded,0,0,1,1,1,1,1,1.09E-07,-8.72E-07,-1.01E-06,1.34E-06,4.45E-07,1,2.40E-03,1,1,0,0,0
13,1.36E-01,8.44E-02,3.28E-01,0,13,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
15,1.31E-01,9.07E-02,2.48E-01,3,15,Not eroded,0,0,1,1,1,1,0,1.65E-07,2.63E-07,-1.75E-07,3.57E-07,1.19E-07,1,6.39E-04,1,1,0,0,0
23,2.86E-01,8.92E-02,3.09E-01,0,23,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
25,1.59E-01,1.71E-01,2.43E-01,4,25,Not eroded,0,0,1,1,1,1,0,-2.00E-08,6.53E-07,1.08E-06,1.26E-06,3.15E-07,0,2.25E-03,1,1,0,0,0
29,2.00E-01,1.64E-01,3.32E-01,0,29,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
39,2.29E-01,1.06E-01,2.78E-01,0,39,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
41,1.99E-01,3.04E-01,2.72E-01,4,41,Not eroded,0,0,1,1,1,1,1,-5.16E-08,1.57E-07,7.16E-07,7.35E-07,1.84E-07,0,1.31E-03,1,1,0,0,0
45,1.09E-01,6.70E-02,2.49E-01,3,45,Not eroded,0,0,1,1,1,1,0,2.96E-07,6.48E-08,-1.92E-08,3.03E-07,1.01E-07,1,5.42E-04,1,1,0,0,0
46,2.50E-01,2.83E-01,2.48E-01,0,46,Not eroded,0,0,1,1,1,1,0,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
47,9.86E-02,1.99E-01,3.25E-01,0,47,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
49,1.40E-01,2.35E-01,2.90E-01,3,49,Not eroded,0,0,1,1,1,1,1,4.86E-07,2.85E-07,4.68E-07,7.32E-07,2.44E-07,1,1.31E-03,1,1,0,0,0
56,2.78E-01,2.51E-01,2.85E-01,3,56,Not eroded,0,0,1,1,1,1,1,1.83E-06,3.49E-05,-1.47E-06,3.50E-05,1.17E-05,1,6.26E-02,1,1,0,0,0
60,1.33E-01,2.90E-01,2.63E-01,0,60,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
