Before erosion ID,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
1,0.06511735,5,1,Not eroded,0,0,0,0,0,0,0,0,0,0,1
2,0.3180699,0,2,ERODED,1,1,1,1,1,1,1,1,1,1,1
3,0.2571037,5,3,Not eroded,0,1,1,1,1,1,0,0,0,0,1
4,0.1433684,4,4,Not eroded,0,0,0,0,0,0,0,0,0,1,1
5,0.156677,0,5,Not eroded,0,0,0,0,0,0,1,1,1,1,1
6,0.06756202,0,6,Not eroded,0,0,0,0,0,0,1,1,1,1,1
7,0.2069596,4,7,Not eroded,0,1,0,0,0,0,0,0,0,1,1
8,0.2169149,4,8,Not eroded,0,1,0,0,0,0,0,0,0,1,1
10,0.2819585,0,10,Not eroded,0,1,1,1,1,1,1,1,1,1,1
11,0.0954841,4,11,Not eroded,0,0,0,0,0,0,0,0,0,1,1
12,0.06408073,4,12,Not eroded,0,0,0,0,0,0,0,0,0,1,1
13,0.1917028,4,13,Not eroded,0,1,0,0,0,0,0,0,0,1,1
14,0.1026543,4,14,Not eroded,0,0,0,0,0,0,0,0,0,1,1
15,0.1138407,3,15,Not eroded,0,0,0,0,0,0,1,0,0,1,1
16,0.29518,0,16,ERODED,1,1,1,1,1,1,1,1,1,1,1
17,0.1961233,6,17,Not eroded,0,1,0,0,0,0,0,0,0,0,0
18,0.2757708,5,18,Not eroded,0,1,1,1,1,1,0,0,0,0,1
19,0.3237126,0,19,ERODED,1,1,1,1,1,1,1,1,1,1,1
20,0.3052567,0,20,ERODED,1,1,1,1,1,1,1,1,1,1,1
21,0.06205661,5,21,Not eroded,0,0,0,0,0,0,0,0,0,0,1
24,0.06957336,6,24,Not eroded,0,0,0,0,0,0,0,0,0,0,0
25,0.1704538,5,25,Not eroded,0,0,0,0,0,0,0,0,0,0,1
26,0.1936451,5,26,Not eroded,0,1,0,0,0,0,0,0,0,0,1
27,0.05625132,4,27,Not eroded,0,0,0,0,0,0,0,0,0,1,1
28,0.08426246,4,28,Not eroded,0,0,0,0,0,0,0,0,0,1,1
29,0.0746446,0,29,Not eroded,0,0,0,0,0,0,1,1,1,1,1
30,0.2675918,0,30,Not eroded,0,1,1,1,1,1,1,1,1,1,1
31,0.1808072,0,31,Not eroded,0,0,0,0,0,0,1,1,1,1,1
32,0.05945526,5,32,Not eroded,0,0,0,0,0,0,0,0,0,0,1
34,0.2269813,4,34,Not eroded,0,1,1,0,0,0,0,0,0,1,1
35,0.2918192,0,35,ERODED,1,1,1,1,1,1,1,1,1,1,1
36,0.2729344,0,36,Not eroded,0,1,1,1,1,1,1,1,1,1,1
37,0.2503775,3,37,Not eroded,0,1,1,1,1,1,1,0,0,1,1
38,0.05626546,3,38,Not eroded,0,0,0,0,0,0,1,0,0,1,1
39,0.1238098,5,39,Not eroded,0,0,0,0,0,0,0,0,0,0,1
40,0.2584334,6,40,Not eroded,0,1,1,1,1,1,0,0,0,0,0
41,0.3125369,0,41,ERODED,1,1,1,1,1,1,1,1,1,1,1
43,0.2323914,5,43,Not eroded,0,1,1,1,0,0,0,0,0,0,1
44,0.09210426,3,44,Not eroded,0,0,0,0,0,0,1,0,0,1,1
45,0.2115298,0,45,Not eroded,0,1,0,0,0,0,1,1,1,1,1
46,0.1719541,5,46,Not eroded,0,0,0,0,0,0,0,0,0,0,1
47,0.1841745,4,47,Not eroded,0,0,0,0,0,0,0,0,0,1,1
48,0.09476314,4,48,Not eroded,0,0,0,0,0,0,0,0,0,1,1
49,0.2365456,3,49,Not eroded,0,1,1,1,0,0,1,0,0,1,1
50,0.1836037,0,50,Not eroded,0,0,0,0,0,0,1,1,1,1,1
51,0.2107259,3,51,Not eroded,0,1,0,0,0,0,1,0,0,1,1
