Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.21,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
2,5.74E-02,6.69E-02,0.3180699,0,2,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
3,1.22E-01,7.32E-02,0.2571037,5,3,Not eroded,0,1,1,1,1,1,1,0,0,0,0,1
8,2.17E-01,5.60E-02,0.2169149,4,8,Not eroded,0,1,1,0,0,0,0,0,0,0,1,1
10,1.72E-01,1.47E-01,0.2819585,0,10,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
16,2.78E-01,1.37E-01,0.29518,0,16,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
18,3.18E-01,2.00E-01,0.2757708,5,18,Not eroded,0,1,1,1,1,1,1,0,0,0,0,1
19,1.03E-01,1.38E-01,0.3237126,0,19,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
20,1.23E-01,2.65E-01,0.3052567,0,20,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
30,1.25E-01,1.45E-01,0.2675918,0,30,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
34,1.26E-01,1.53E-01,0.2269813,4,34,Not eroded,0,1,1,1,0,0,0,0,0,0,1,1
35,1.83E-01,5.62E-02,0.2918192,0,35,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
36,1.75E-01,1.42E-01,0.2729344,0,36,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
37,2.15E-01,1.86E-01,0.2503775,3,37,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
40,1.23E-01,1.36E-01,0.2584334,6,40,Not eroded,0,1,1,1,1,1,1,0,0,0,0,0
41,1.35E-01,1.55E-01,0.3125369,0,41,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
43,2.89E-01,2.95E-01,0.2323914,5,43,Not eroded,0,1,1,1,1,0,0,0,0,0,0,1
45,3.24E-01,1.04E-01,0.2115298,0,45,Not eroded,0,1,1,0,0,0,0,1,1,1,1,1
49,1.77E-01,1.48E-01,0.2365456,3,49,Not eroded,0,1,1,1,1,0,0,1,0,0,1,1
51,6.48E-02,3.06E-01,0.2107259,3,51,Not eroded,0,1,1,0,0,0,0,1,0,0,1,1
53,6.16E-02,6.40E-02,0.2409885,5,53,Not eroded,0,1,1,1,1,1,0,0,0,0,0,1
61,1.25E-01,1.29E-01,0.3095942,0,61,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
62,1.80E-01,1.28E-01,0.2775718,0,62,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
64,1.56E-01,3.16E-01,0.2468384,0,64,ERODED,1,1,1,1,1,1,0,1,1,1,1,1
68,9.97E-02,2.34E-01,0.225604,5,68,Not eroded,0,1,1,1,0,0,0,0,0,0,0,1
70,1.06E-01,1.66E-01,0.2550653,4,70,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
72,3.24E-01,6.81E-02,0.2718823,0,72,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
73,1.31E-01,1.74E-01,0.2523884,4,73,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
75,2.52E-01,2.88E-01,0.2324878,0,75,Not eroded,0,1,1,1,1,0,0,1,1,1,1,1
77,2.48E-01,2.22E-01,0.2251985,0,77,Not eroded,0,1,1,1,0,0,0,1,1,1,1,1
84,3.06E-01,1.79E-01,0.2481434,0,84,Not eroded,0,1,1,1,1,1,0,1,1,1,1,1
85,2.25E-01,2.38E-01,0.2668286,0,85,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
86,8.15E-02,1.26E-01,0.2134475,4,86,Not eroded,0,1,1,0,0,0,0,0,0,0,1,1
90,5.65E-02,2.54E-01,0.2577799,0,90,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
92,1.02E-01,3.17E-01,0.2906882,0,92,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
100,2.58E-01,2.30E-01,0.2456985,5,100,Not eroded,0,1,1,1,1,1,0,0,0,0,0,1
111,2.53E-01,2.27E-01,0.2535425,4,111,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
113,1.77E-01,1.37E-01,0.2822054,0,113,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
118,1.16E-01,5.59E-02,0.2758187,0,118,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
122,1.76E-01,2.22E-01,0.2307607,5,122,Not eroded,0,1,1,1,1,0,0,0,0,0,0,1
125,1.76E-01,2.57E-01,0.2683822,0,125,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
133,2.67E-01,1.16E-01,0.3151198,0,133,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
134,5.65E-02,1.19E-01,0.2604809,4,134,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
136,2.19E-01,1.24E-01,0.2369694,4,136,Not eroded,0,1,1,1,1,0,0,0,0,0,1,1
140,9.07E-02,3.24E-01,0.2556761,3,140,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
144,2.26E-01,1.47E-01,0.2711096,0,144,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
150,2.64E-01,1.42E-01,0.2302506,4,150,Not eroded,0,1,1,1,1,0,0,0,0,0,1,1
155,5.77E-02,2.41E-01,0.2614585,0,155,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
157,9.21E-02,2.23E-01,0.2771613,0,157,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
158,2.87E-01,2.90E-01,0.2435469,5,158,Not eroded,0,1,1,1,1,1,0,0,0,0,0,1
160,1.83E-01,1.88E-01,0.3253551,0,160,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
161,5.65E-02,9.74E-02,0.229806,4,161,Not eroded,0,1,1,1,0,0,0,0,0,0,1,1
162,2.65E-01,1.01E-01,0.3031245,0,162,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
164,1.49E-01,7.59E-02,0.257349,5,164,Not eroded,0,1,1,1,1,1,1,0,0,0,0,1
167,8.33E-02,1.56E-01,0.2885213,0,167,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
169,2.54E-01,7.45E-02,0.2721059,2,169,Not eroded,0,1,1,1,1,1,1,1,0,1,1,1
170,5.65E-02,2.15E-01,0.2151406,2,170,Not eroded,0,1,1,0,0,0,0,1,0,1,1,1
171,9.83E-02,3.24E-01,0.3197057,0,171,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
173,1.77E-01,7.29E-02,0.2808742,3,173,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
174,2.19E-01,2.26E-01,0.3190343,0,174,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
178,1.70E-01,3.01E-01,0.292454,0,178,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
180,7.04E-02,6.51E-02,0.2456635,3,180,Not eroded,0,1,1,1,1,1,0,1,0,0,1,1
183,2.65E-01,3.24E-01,0.2155894,3,183,Not eroded,0,1,1,0,0,0,0,1,0,0,1,1
187,2.23E-01,1.00E-01,0.236571,0,187,Not eroded,0,1,1,1,1,0,0,1,1,1,1,1
191,2.51E-01,5.65E-02,0.2161297,4,191,Not eroded,0,1,1,0,0,0,0,0,0,0,1,1
198,2.93E-01,2.03E-01,0.2526133,5,198,Not eroded,0,1,1,1,1,1,1,0,0,0,0,1
199,2.69E-01,1.55E-01,0.2162117,4,199,Not eroded,0,1,1,0,0,0,0,0,0,0,1,1
200,1.73E-01,2.17E-01,0.3052491,0,200,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
202,2.79E-01,2.55E-01,0.2324863,0,202,Not eroded,0,1,1,1,1,0,0,1,1,1,1,1
211,9.01E-02,2.14E-01,0.2170289,3,211,Not eroded,0,1,1,0,0,0,0,1,0,0,1,1
224,2.88E-01,2.83E-01,0.2363797,0,224,Not eroded,0,1,1,1,1,0,0,1,1,1,1,1
226,2.08E-01,5.59E-02,0.2139487,3,226,Not eroded,0,1,1,0,0,0,0,1,0,0,1,1
