Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity
1,1.02E-01,2.05E-01,2.48E-01,0,1,Not eroded,0,1,1,1,1,0,1,1,1,1,1
3,1.76E-01,2.40E-01,2.55E-01,4,3,Not eroded,0,1,1,1,1,1,0,0,0,1,1
4,1.68E-01,2.86E-01,3.30E-01,0,4,ERODED,1,1,1,1,1,1,1,1,1,1,1
15,2.91E-01,1.66E-01,2.62E-01,3,15,Not eroded,0,1,1,1,1,1,1,0,0,1,1
16,9.10E-02,3.24E-01,2.95E-01,0,16,ERODED,1,1,1,1,1,1,1,1,1,1,1
18,1.39E-01,2.37E-01,2.89E-01,4,18,Not eroded,0,1,1,1,1,1,0,0,0,1,1
23,1.97E-01,2.30E-01,2.91E-01,3,23,Not eroded,0,1,1,1,1,1,1,0,0,1,1
24,1.66E-01,9.09E-02,3.24E-01,0,24,ERODED,1,1,1,1,1,1,1,1,1,1,1
29,1.53E-01,1.25E-01,2.89E-01,4,29,Not eroded,0,1,1,1,1,1,0,0,0,1,1
35,2.83E-01,3.24E-01,2.72E-01,0,35,ERODED,1,1,1,1,1,1,1,1,1,1,1
36,2.96E-01,2.23E-01,3.13E-01,0,36,ERODED,1,1,1,1,1,1,1,1,1,1,1
42,2.80E-01,1.74E-01,3.25E-01,0,42,ERODED,1,1,1,1,1,1,1,1,1,1,1
51,6.32E-02,1.62E-01,2.79E-01,5,51,Not eroded,0,1,1,1,1,1,0,0,0,0,1
57,1.61E-01,3.24E-01,2.48E-01,4,57,Not eroded,0,1,1,1,1,0,0,0,0,1,1
58,3.20E-01,7.83E-02,2.72E-01,0,58,ERODED,1,1,1,1,1,1,1,1,1,1,1
64,1.45E-01,2.22E-01,2.79E-01,3,64,Not eroded,0,1,1,1,1,1,1,0,0,1,1
66,1.59E-01,3.24E-01,2.84E-01,0,66,ERODED,1,1,1,1,1,1,1,1,1,1,1
70,2.48E-01,9.52E-02,2.51E-01,4,70,Not eroded,0,1,1,1,1,1,0,0,0,1,1
74,2.26E-01,1.03E-01,2.85E-01,4,74,Not eroded,0,1,1,1,1,1,0,0,0,1,1
82,1.41E-01,1.39E-01,2.69E-01,3,82,Not eroded,0,1,1,1,1,1,1,0,0,1,1
85,3.24E-01,1.96E-01,2.51E-01,4,85,Not eroded,0,1,1,1,1,1,0,0,0,1,1
88,1.87E-01,7.40E-02,2.70E-01,6,88,Not eroded,0,1,1,1,1,1,0,0,0,0,0
99,2.01E-01,3.24E-01,2.92E-01,2,99,Not eroded,0,1,1,1,1,1,1,0,1,1,1
105,1.09E-01,5.65E-02,3.15E-01,0,105,ERODED,1,1,1,1,1,1,1,1,1,1,1
107,8.43E-02,3.14E-01,3.01E-01,0,107,ERODED,1,1,1,1,1,1,1,1,1,1,1
108,2.08E-01,1.97E-01,2.69E-01,5,108,Not eroded,0,1,1,1,1,1,0,0,0,0,1
109,7.79E-02,2.94E-01,3.16E-01,0,109,ERODED,1,1,1,1,1,1,1,1,1,1,1
110,2.88E-01,1.32E-01,2.81E-01,3,110,Not eroded,0,1,1,1,1,1,1,0,0,1,1
119,2.93E-01,3.23E-01,2.77E-01,0,119,ERODED,1,1,1,1,1,1,1,1,1,1,1
131,2.19E-01,1.77E-01,3.10E-01,0,131,ERODED,1,1,1,1,1,1,1,1,1,1,1
